Activity	0.07010627063938478,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.6992059672611974,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	5.542835859311335E-6,Event	2.0611536181902033E-9,Location	1.615811953493297E-4,Place	0.9997210139026379,MeanOfTransportation	2.0611536181902033E-9,Species	0.9997725555024856,SportsSeason	2.0611536181902033E-9,TimePeriod	3.888290301518078E-9,Work	0.9999983647777761
Activity	3.658693876950312E-6,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9999999979388464,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.007470949361714562,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	9.411479441250915E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9999999979388464,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	1.3947905652492002E-7
Activity	0.023022824071257716,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.006873166392667594,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.5984707101763402,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.026718494847734687,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.45186067739655567,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.9999999979388464,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.999979257070123,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	3.221682660346292E-9,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.02127586436031596,Agent	2.0611536181902033E-9,Organisation	1.1586076359302594E-5,other	2.0611536181902033E-9,Person	4.327553983391066E-7,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.021025863265411365,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999987456664059,SportsSeason	1.2306810042480324E-7,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.00441137374156919,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	7.917093925320903E-5,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.5988293154935854E-8
Activity	0.021466076876460505,Agent	2.0611536181902033E-9,Organisation	5.990002058877981E-7,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	1.5112496245284406E-5,Event	2.0611536181902033E-9,Location	0.999564520871672,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999998890547187,SportsSeason	3.297757916257385E-5,TimePeriod	2.0611536181902033E-9,Work	6.478040245417887E-5
Activity	0.016089333176636966,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.03604440556821512,Person	0.9999973106601462,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	1.01433150858599E-6,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.99999214917258
Activity	0.005659030027952409,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9999999979388464,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.07087181330814438,Agent	2.0611536181902033E-9,Organisation	0.9839600038041327,other	2.0611536181902033E-9,Person	0.99999998816,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	0.008356183198787934,Event	2.0611536181902033E-9,Location	0.9983306335611901,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.10588898845812557,SportsSeason	1.2332177279598325E-6,TimePeriod	1.508346411340543E-7,Work	5.68777106858937E-4
Activity	0.028031072317660506,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9720024723694298,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	0.014558989846505443,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	5.968071101521132E-5,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999104936245,SportsSeason	0.05276571538446061,TimePeriod	2.0611536181902033E-9,Work	0.9987800547546732
Activity	0.056661836081753666,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.978748832102303E-6,Event	2.0611536181902033E-9,Location	0.046154257575886024,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	1.2917372204324697E-8,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.020994744940369944,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	7.418268891488382E-9,Event	2.0611536181902033E-9,Location	1.8436847303553124E-6,Place	0.9947332085209414,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.013574230318215667
Activity	0.17081627624078582,Agent	2.0611536181902033E-9,Organisation	5.980686790880584E-7,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	4.811691019637437E-9,CelestialBody	0.9953818352457079,ChemicalSubstance	4.242499368189206E-6,Device	0.002189277786353277,Event	4.00886362327137E-8,Location	3.0528713264491764E-5,Place	8.893405701367121E-4,MeanOfTransportation	2.0611536181902033E-9,Species	0.7469224787764457,SportsSeason	2.0611536181902033E-9,TimePeriod	1.990795530944117E-4,Work	0.352886715961902
Activity	0.2522494438607021,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	3.4117461596784044E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	0.9934072294629458,ChemicalSubstance	4.93033172750759E-9,Device	4.329963137723596E-5,Event	2.0611536181902033E-9,Location	6.4261929528208895E-6,Place	9.094757656457398E-7,MeanOfTransportation	3.863834439071965E-5,Species	0.9900867128949689,SportsSeason	2.0611536181902033E-9,TimePeriod	3.5856421634388736E-5,Work	0.9990404933340932
Activity	0.1880215696833952,Agent	2.0611536181902033E-9,Organisation	0.9934895674932295,other	1.174457506392524E-7,Person	0.24205415558982787,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	7.366659854449723E-8,Device	0.01036534555320339,Event	2.843847332476975E-4,Location	0.13662602698538565,Place	0.9999988970103171,MeanOfTransportation	2.0611536181902033E-9,Species	0.9931520319329702,SportsSeason	5.273642406055369E-7,TimePeriod	7.113214619936478E-6,Work	0.041460659862936414
Activity	0.22545069650914054,Agent	2.0611536181902033E-9,Organisation	1.936924272656927E-6,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	0.9999998330963079,CelestialBody	9.233529740285732E-6,ChemicalSubstance	2.0611536181902033E-9,Device	3.2871765483655514E-8,Event	2.0611536181902033E-9,Location	1.0165502400495563E-4,Place	0.8932026442006724,MeanOfTransportation	2.0611536181902033E-9,Species	0.781806870390468,SportsSeason	2.3231498584108777E-8,TimePeriod	2.2673858846215704E-5,Work	0.009762228005200744
Activity	0.02746314635568673,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	1.1242696088946926E-8,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999992618994594,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.07894991989386509,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.0010567020769281042,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999847035204371,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.05670244658512463,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.05481848829826114,Person	0.9999999911849002,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	3.281786830550841E-8,Event	2.0611536181902033E-9,Location	1.2394254805987838E-5,Place	0.010875303251353654,MeanOfTransportation	2.0611536181902033E-9,Species	0.20431281218738293,SportsSeason	2.0611536181902033E-9,TimePeriod	1.0979724779478056E-8,Work	1.1513761566174434E-8
Activity	0.23223008516551719,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999883811288133,Biomolecule	2.127883780873841E-9,CelestialBody	2.9372151725169643E-4,ChemicalSubstance	1.2127930882709484E-7,Device	2.1163648261517343E-8,Event	2.0611536181902033E-9,Location	2.2677416192220494E-7,Place	1.1776594318577034E-5,MeanOfTransportation	1.1875428841379353E-8,Species	0.034382348064905206,SportsSeason	3.4573111141617056E-6,TimePeriod	2.627011793208878E-4,Work	2.0611536181902033E-9
Activity	0.16469861150534948,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.7529576244862208E-5,Person	0.9999999979388464,Biomolecule	7.281049957238005E-8,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	4.6165726042477725E-6,Device	3.463952563900433E-7,Event	2.0611536181902033E-9,Location	0.05815963669876418,Place	1.8857738055590445E-5,MeanOfTransportation	2.0611536181902033E-9,Species	7.902551529645902E-4,SportsSeason	2.8466513920848585E-7,TimePeriod	3.267542435947716E-5,Work	2.0611536181902033E-9
Activity	0.15832870635123533,Agent	2.0611536181902033E-9,Organisation	0.0034072920589912816,other	0.26144344392620605,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.14830080327456E-9,Device	1.325172395856689E-4,Event	1.4264784253926837E-8,Location	0.04892694160061321,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999978150288,SportsSeason	2.1837811250705736E-4,TimePeriod	1.7005032818703337E-8,Work	0.0022202158965651036
Activity	8.651473393796006E-4,Agent	2.0611536181902033E-9,Organisation	0.9999094513769362,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.08305804066657214,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.03990045787468985,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999994987809723,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.10218627621847043,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	0.01614072437904108,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999971434856888,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.2841511815029325,Agent	2.0611536181902033E-9,Organisation	6.040889175298309E-9,other	0.9335315392628541,Person	2.0611536181902033E-9,Biomolecule	2.1432395946573216E-6,CelestialBody	1.7738991897049366E-4,ChemicalSubstance	3.117725538098408E-6,Device	8.410427046656168E-6,Event	2.0611536181902033E-9,Location	0.0014912965624089265,Place	0.96913696623609,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	1.0131107083659577E-5,TimePeriod	9.09849351354375E-5,Work	2.0611536181902033E-9
Activity	0.06814947722077294,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.18650420119479216,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.039849856818773476,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	9.156643806057493E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	1.7807219156354787E-5,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	2.0611536181902033E-9,SportsSeason	2.5238462830039173E-8,TimePeriod	3.244716788559797E-6,Work	2.0611536181902033E-9
Activity	0.05193105954801944,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	1.833865597410426E-5,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9995381105026029,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	6.885404820433751E-6,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	0.9683809743288774,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	3.501990378452167E-4,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	0.9999999979388464,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	0.9999999979388464
Activity	0.1817563623928309,Agent	2.0611536181902033E-9,Organisation	5.023076153940895E-7,other	2.0611536181902033E-9,Person	2.0611536181902033E-9,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.10478770495454E-5,Place	0.32781873618062196,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.188413732661233E-6,Work	2.0611536181902033E-9
Activity	5.315691624990705E-5,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	2.0611536181902033E-9,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.0611536181902033E-9,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9999999979388464,SportsSeason	2.0611536181902033E-9,TimePeriod	2.0611536181902033E-9,Work	2.0611536181902033E-9
Activity	0.1361101299380138,Agent	2.0611536181902033E-9,Organisation	2.0611536181902033E-9,other	3.340594887043312E-6,Person	0.9999999979388464,Biomolecule	2.0611536181902033E-9,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	2.0611536181902033E-9,Device	2.0611536181902033E-9,Event	2.0611536181902033E-9,Location	2.9076905952612314E-5,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	0.9838771477210698,SportsSeason	2.0611536181902033E-9,TimePeriod	1.3679746128317935E-8,Work	2.0611536181902033E-9
Activity	0.17197340361989602,Agent	5.054235635422351E-9,Organisation	2.0611536181902033E-9,other	1.9259766937736674E-4,Person	0.9999999979388464,Biomolecule	1.601419213861368E-6,CelestialBody	2.0611536181902033E-9,ChemicalSubstance	3.0008259603225555E-6,Device	9.426424947790917E-5,Event	2.44661421844063E-9,Location	6.676146126080766E-5,Place	2.0611536181902033E-9,MeanOfTransportation	2.0611536181902033E-9,Species	3.096047359305434E-8,SportsSeason	3.618844927071E-7,TimePeriod	0.0010702194836727664,Work	2.0611536181902033E-9
